seed,exploration,min_logged_propensity,pct_logged_prop_lt_0p01,true_joint_irc,true_decoupled_irc,true_joint_advantage,dm_joint_ope,dr_joint_ope,dm_decoupled_ope,dr_decoupled_ope,abs_error_dm_joint,abs_error_dr_joint
12,0.5,0.016666666669571582,0.0,28.23542270434279,26.70738132954473,1.5280413747980575,31.18943097782135,29.354863926533334,27.662981790542602,26.698903309880702,2.9540082734785607,1.1194412221905452
12,0.25,0.008333333337690707,8.05,28.067669630632214,27.348714855664113,0.7189547749681005,32.5080862493515,30.95972716383756,29.521438153266907,30.87624178268495,4.440416618719286,2.892057533205346
12,0.1,0.003333333338562183,7.249999999999999,28.414300666181397,27.056380356619556,1.357920309561841,34.10499926996231,27.09396074227386,29.894981361865998,27.8069445643151,5.690698603780916,1.320339923907536
13,0.5,0.016666666683423356,0.0,28.37940741126726,27.641920573963187,0.7374868373040719,31.542633095741273,27.54543521192033,29.053606905937194,28.577501590622735,3.163225684474014,0.8339721993469276
13,0.25,0.00833333335846837,7.75,28.51941372630143,27.413255681815013,1.106158044486417,32.91647345209122,29.37941519119162,28.978306263446807,26.88500891720824,4.397059725789788,0.860001464890189
13,0.1,0.0033333333634953783,8.175,28.077550757433464,27.394512496921383,0.683038260512081,32.299408905506134,28.338779983555927,28.772791880130768,25.10517537452883,4.22185814807267,0.26122922612246313
14,0.5,0.016666666683423356,0.0,28.41651455863485,27.979332490245604,0.437182068389248,31.887185138702392,29.174442722060363,29.075542485237122,28.553892083685955,3.470670580067541,0.7579281634255111
14,0.25,0.00833333335846837,6.950000000000001,28.844097878635818,27.357303781749533,1.4867940968862854,33.3976418671608,27.989930939351087,30.16068872308731,27.320783255892078,4.553543988524982,0.8541669392847311
14,0.1,0.0033333333634953783,7.55,28.41396452327093,27.29570890066123,1.118255622609702,31.495038452625273,32.04623320089861,28.81279879808426,31.2212707509001,3.0810739293543428,3.632268677627682
15,0.5,0.016666666669571582,0.0,27.750151330435585,27.206919550427816,0.5432317800077691,31.72079478740692,29.396910833014495,28.71524678993225,27.28099824173649,3.9706434569713345,1.6467595025789095
15,0.25,0.008333333337690707,7.225,27.769687660712695,26.768479242340984,1.0012084183717107,32.54749839973449,28.032474533279768,29.262972888946532,28.678922502520617,4.777810739021799,0.262786872567073
15,0.1,0.003333333338562183,7.85,27.912459126699538,27.410541174175624,0.5019179525239146,33.20332881641388,26.87402016892498,29.827261509895326,28.318847022293387,5.2908696897143415,1.0384389577745594
16,0.5,0.016666666683423356,0.0,28.425031712564515,27.47929360321984,0.9457381093446742,31.937141266822813,29.1911755341205,29.144731412887573,28.21347275131494,3.5121095542582985,0.7661438215559855
16,0.25,0.00833333335846837,7.199999999999999,28.273001795333133,27.009027573778628,1.2639742215545056,31.691244423389435,31.396408398261904,28.199573981761933,26.3340034750549,3.4182426280563014,3.123406602928771
16,0.1,0.0033333333634953783,7.8,27.852574933290132,26.8648587092542,0.9877162240359318,31.440186125278473,29.9438087749275,27.571478263378143,30.383259772732213,3.5876111919883407,2.0912338416373686
17,0.5,0.016666667125799974,0.0,28.39458492333669,27.441424831486763,0.9531600918499272,31.370258972167967,26.1523618658885,28.42361745262146,27.159676150933286,2.9756740488312765,2.2422230574481894
17,0.25,0.008333334022033297,7.775,28.02500136067242,27.392507856129313,0.6324935045431062,32.63805019712448,27.701395527544555,29.47161046075821,27.67399520656087,4.613048836452059,0.3236058331278642
17,0.1,0.00333333415977329,7.875,28.17751988632524,27.42831326368586,0.7492066226393774,33.039527764797214,26.86810816376409,29.521425858974457,31.08520701128415,4.8620078784719745,1.3094117225611477
18,0.5,0.016666667088472947,0.0,28.616430124175036,27.61658797737735,0.9998421467976861,31.91974436426163,27.919253989245142,28.717227206707,28.44301637743054,3.3033142400865927,0.6971761349298937
18,0.25,0.008333333966042756,7.199999999999999,28.1645463010418,26.691498877813835,1.473047423227964,31.56447292470932,29.649630878458645,27.817488880634308,29.424885647522274,3.399926623667522,1.4850845774168455
18,0.1,0.0033333340925846403,7.8,28.549574293920116,26.92384098291855,1.625733311001568,33.36874544239044,30.31350897312217,29.739742339134217,27.368682673033657,4.819171148470325,1.7639346792020518
19,0.5,0.016666666669571582,0.0,28.242339470631073,27.510438817370844,0.7319006532602295,33.17470325136185,29.85955229202779,30.11284082174301,28.153073705087245,4.932363780730775,1.6172128213967163
19,0.25,0.008333333337690707,7.7,28.448169225772443,27.42416632830685,1.0240028974655928,31.471055292129517,28.430075467364407,28.37350951385498,27.750478401639615,3.0228860663570742,0.0180937584080354
19,0.1,0.003333333338562183,7.875,27.916759138100396,26.904445032350385,1.0123141057500114,33.14152303981781,26.765343896169483,28.87926346874237,24.9860827401101,5.224763901717417,1.1514152419309127
