bootstrap,lambda,n_train_draws,n_train_unique,n_oob,irc_joint_week,irc_decoupled_week,delta_week,delta_year
42,0.25,480,361,440,0.33207231947284854,0.06377581375719388,0.2682965057156546,13.95141829721404
42,0.5,480,361,440,0.5953594183829402,0.018741145328011913,0.5766182730549282,29.984150198856266
42,0.75,480,361,440,0.807404919924812,-0.08238777181184513,0.8897926917366572,46.269219970306175
42,1.0,480,361,440,0.8721270492185381,0.08520000851198962,0.7869270407065487,40.92020611674053
43,0.0,480,365,436,0.13905116187151975,0.03782745963292154,0.10122370223859821,5.263632516407107
43,0.25,480,365,436,0.4506937499643678,-0.018838692638251425,0.46953244260261917,24.415687015336196
43,0.5,480,365,436,0.6685945437193853,-0.0022539110582373385,0.6708484547776227,34.88411964843638
43,0.75,480,365,436,0.8225280334708096,-0.12826808986498425,0.9507961233357939,49.44139841346128
43,1.0,480,365,436,1.1020468466028057,0.043137101790262915,1.0589097448125429,55.06330673025223
44,0.0,480,367,434,0.19291724902499868,0.05050750707592569,0.14240974194907297,7.405306581351795
44,0.25,480,367,434,0.3530495485905629,-0.030572568767629607,0.3836221173581925,19.948350102626012
44,0.5,480,367,434,0.5879076514706617,0.03720886012477342,0.5506987913458883,28.63633714998619
44,0.75,480,367,434,0.7658703344651342,-0.07480351189514375,0.840673846360278,43.715040010734455
44,1.0,480,367,434,0.9688079339434428,0.12088428020418918,0.8479236537392536,44.09202999444119
45,0.0,480,365,436,0.0618242678217221,-0.003594547781975106,0.0654188156036972,3.4017784113922542
45,0.25,480,365,436,0.3988279303611417,-0.01851272333386625,0.417340653695008,21.701713992140416
45,0.5,480,365,436,0.5582014393728976,-0.032710208343653825,0.5909116477165516,30.72740568126068
45,0.75,480,365,436,0.8430897514077779,0.009892415340525401,0.8331973360672524,43.32626147549713
45,1.0,480,365,436,0.9194633330913171,0.107448577184517,0.8120147559068001,42.224767307153606
46,0.0,480,361,440,0.1763345536222213,-0.006625065920497325,0.18295961954271864,9.51390021622137
46,0.25,480,361,440,0.3386310012589848,-0.02836782398343445,0.36699882524241917,19.083938912605795
46,0.5,480,361,440,0.5132519541205108,-0.026427272075276946,0.5396792261957878,28.063319762180964
46,0.75,480,361,440,0.7152837940001686,-0.036407418348746626,0.7516912123489153,39.0879430421436
46,1.0,480,361,440,1.0264255821785835,-0.07518810233819564,1.1016136845167792,57.28391159487252
47,0.0,480,356,445,0.12893596718115116,0.011947335425724298,0.11698863175542684,6.083408851282195
47,0.25,480,356,445,0.3427442399343957,-0.05119290770610555,0.39393714764050125,20.484731677306065
47,0.5,480,356,445,0.6421201065533069,-0.007873490018226542,0.6499935965715335,33.79966702171974
47,0.75,480,356,445,0.8531790190595294,-0.0004108049685887809,0.8535898240281182,44.38667084946215
47,1.0,480,356,445,1.0142936852384128,0.06614107317516864,0.9481526120632442,49.3039358272887
48,0.0,480,356,445,0.1599031309785664,0.031474173410526954,0.12842895756803943,6.67830579353805
48,0.25,480,356,445,0.4312984680093998,-0.02096350542199912,0.45226197343139896,23.517622618432746
48,0.5,480,356,445,0.5509724143748106,-0.0424882670492626,0.5934606814240732,30.859955434051805
48,0.75,480,356,445,0.7644361391774244,-0.09441688956961244,0.8588530287470368,44.66035749484592
48,1.0,480,356,445,0.98411169625729,0.013483125031816584,0.9706285712254734,50.472685703724615
49,0.0,480,357,444,0.12281027108372101,0.07397573913072382,0.04883453195299721,2.539395661555855
49,0.25,480,357,444,0.39146194147544583,-0.038809039423106324,0.4302709808985521,22.374091006724708
49,0.5,480,357,444,0.6141739603053926,-0.13294882496790197,0.7471227852732946,38.85038483421132
49,0.75,480,357,444,0.8752202996266816,-0.023754697854138813,0.8989749974808203,46.746699869002654
49,1.0,480,357,444,1.0688673001449367,-0.04666381120147465,1.1155311113464115,58.0076177900134
50,0.0,480,362,439,0.16740404934388858,0.06768531583842123,0.09971873350546734,5.185374142284301
50,0.25,480,362,439,0.32215159532456417,0.001020179073008133,0.321131416251556,16.698833645080914
50,0.5,480,362,439,0.5984320244231068,-0.025613401271511762,0.6240454256946185,32.45036213612016
50,0.75,480,362,439,0.7580796792705186,0.058860557366583105,0.6992191219039353,36.35939433900464
50,1.0,480,362,439,1.0795024351048903,-0.06555969618016105,1.1450621312850513,59.543230826822665
51,0.0,480,374,427,0.15612788774089886,-0.007287549390303551,0.16341543713120243,8.497602730822527
51,0.25,480,374,427,0.39259458093407695,-0.006659033051420637,0.3992536139854976,20.761187927245874
51,0.5,480,374,427,0.606296067984624,-0.04422974459845015,0.6505258125830743,33.827342254319866
51,0.75,480,374,427,0.827591369919171,-0.009733347318764915,0.8373247172379359,43.540885296372664
51,1.0,480,374,427,0.9852777439604568,3.850389073092491e-05,0.985239240069726,51.23244048362575
52,0.0,480,355,446,0.13880324852794282,0.0177910265414315,0.12101222198651132,6.292635543298589
52,0.25,480,355,446,0.3232706191631664,-0.01584368121527229,0.33911430037843865,17.63394361967881
52,0.5,480,355,446,0.6354736184837673,-0.06342311981980805,0.6988967383035753,36.34263039178592
52,0.75,480,355,446,0.8235013429864758,0.050089149069967434,0.7734121939165085,40.21743408365844
52,1.0,480,355,446,1.0349602916619807,0.07035669062022643,0.9646036010417541,50.159387254171214
53,0.0,480,361,440,0.10304842242196195,0.003919601374807227,0.09912882104715473,5.154698694452046
53,0.25,480,361,440,0.37697093134310433,0.0379317101439601,0.3390392211991443,17.630039502355505
53,0.5,480,361,440,0.530862276019984,0.046239028376117715,0.4846232476438663,25.200408877481046
53,0.75,480,361,440,0.7330130197248309,0.09110092678456753,0.6419120929402634,33.379428832893694
53,1.0,480,361,440,0.8941732273121061,0.09516942762122592,0.7990037996908802,41.54819758392577
54,0.0,480,361,440,0.11344593027342234,0.05107419612279566,0.06237173415062669,3.243330175832588
54,0.25,480,361,440,0.36424518015100293,-0.006683996016250317,0.3709291761672533,19.288317160697172
54,0.5,480,361,440,0.5495566793619261,-0.06667452693419869,0.6162312062961247,32.044022727398485
54,0.75,480,361,440,0.7850866418354103,0.047704307650512784,0.7373823341848974,38.343881377614665
54,1.0,480,361,440,0.9456898943409086,0.0868854370136881,0.8588044573272205,44.65783178101547
55,0.0,480,359,442,0.20309003263524875,0.06660907141099773,0.136480961224251,7.097009983661051
55,0.25,480,359,442,0.4305518352004131,-0.010296208959844478,0.4408480441602576,22.924098296333394
55,0.5,480,359,442,0.5542119508176039,-0.03519921011761368,0.5894111609352175,30.64938036863131
55,0.75,480,359,442,0.7858562706827451,0.05333132274381581,0.7325249479389292,38.091297292824315
55,1.0,480,359,442,0.9911547641613945,0.13681759156270518,0.8543371725986892,44.425532975131844
56,0.0,480,355,446,0.14879556054752238,0.044805819106178306,0.10398974144134408,5.407466554949893
56,0.25,480,355,446,0.3468328759547147,-0.05467398135447333,0.40150685730918806,20.878356580077778
56,0.5,480,355,446,0.5789531027563594,-0.03263891340885439,0.6115920161652137,31.802784840591116
56,0.75,480,355,446,0.7999215293854962,-0.04629885395345566,0.846220383338952,44.00345993362551
56,1.0,480,355,446,0.9593297208653,-0.022144945650796638,0.9814746665160966,51.03668265883702
57,0.0,480,351,450,0.18215841992056633,0.060232244195707114,0.12192617572485924,6.3401611376926805
57,0.25,480,351,450,0.35918435572260593,0.04482243102022735,0.3143619247023785,16.34682008452368
57,0.5,480,351,450,0.6033458424702027,0.035577200496182876,0.5677686419740198,29.523969382649028
57,0.75,480,351,450,0.8378494461246407,0.030410700952020718,0.80743874517262,41.98681474897624
57,1.0,480,351,450,1.0300665397722952,0.10166662496003374,0.9283999148122611,48.27679557023758
